6.04,0.00,792.00,13.88,2025-10-27T13:33:46
6.15,0.00,838.00,13.88,2025-10-27T13:33:56
6.07,0.00,849.00,13.88,2025-10-27T13:34:06
6.04,0.00,850.00,13.88,2025-10-27T13:34:16
7.19,0.00,901.00,13.81,2025-10-27T13:34:26
7.19,0.00,868.00,14.19,2025-10-27T13:34:37
7.19,0.00,905.00,14.63,2025-10-27T13:34:47
7.19,0.00,919.00,14.88,2025-10-27T13:34:57
7.19,0.00,914.00,15.00,2025-10-27T13:35:07
7.19,0.00,918.00,15.06,2025-10-27T13:35:17
7.19,0.00,904.00,15.13,2025-10-27T13:35:27
7.18,0.00,901.00,15.13,2025-10-27T13:35:38
7.18,0.00,908.00,15.19,2025-10-27T13:35:48
7.17,0.00,915.00,15.13,2025-10-27T13:35:58
7.17,0.00,912.00,15.19,2025-10-27T13:36:08
7.17,0.00,910.00,15.19,2025-10-27T13:36:18
7.18,0.00,917.00,15.19,2025-10-27T13:36:29
7.17,0.00,913.00,15.19,2025-10-27T13:36:39
7.17,0.00,911.00,15.19,2025-10-27T13:36:49
7.17,0.00,918.00,15.19,2025-10-27T13:36:59
7.17,0.00,911.00,15.19,2025-10-27T13:37:09
7.19,0.00,913.00,15.19,2025-10-27T13:37:20
7.17,0.00,921.00,15.19,2025-10-27T13:37:30
7.17,0.00,914.00,15.19,2025-10-27T13:37:40
7.17,0.00,915.00,15.19,2025-10-27T13:37:50
7.19,0.00,921.00,15.19,2025-10-27T13:38:00
7.18,0.00,916.00,15.19,2025-10-27T13:38:11
7.18,0.00,919.00,15.19,2025-10-27T13:38:21
7.17,0.00,917.00,15.19,2025-10-27T13:38:31
7.17,0.00,919.00,15.19,2025-10-27T13:38:41
7.18,0.00,922.00,15.19,2025-10-27T13:38:51
7.18,0.00,923.00,15.19,2025-10-27T13:39:02
7.17,0.00,925.00,15.19,2025-10-27T13:39:12
7.19,0.00,917.00,15.19,2025-10-27T13:39:22
7.17,0.00,907.00,15.19,2025-10-27T13:39:32
7.17,0.00,926.00,15.13,2025-10-27T13:39:42
7.17,0.00,925.00,15.19,2025-10-27T13:39:52
7.17,0.00,927.00,15.19,2025-10-27T13:40:03
7.17,0.00,905.00,15.19,2025-10-27T13:40:13
7.18,0.00,918.00,15.19,2025-10-27T13:40:23
7.19,0.00,921.00,15.19,2025-10-27T13:40:33
7.17,0.00,917.00,15.19,2025-10-27T13:40:43
7.18,0.00,917.00,15.19,2025-10-27T13:40:54
7.18,0.00,928.00,15.13,2025-10-27T13:41:04
7.17,0.00,918.00,15.19,2025-10-27T13:41:14
7.17,0.00,927.00,15.19,2025-10-27T13:41:24
7.17,0.00,924.00,15.19,2025-10-27T13:41:34
7.17,0.00,925.00,15.19,2025-10-27T13:41:45
7.17,0.00,912.00,15.13,2025-10-27T13:41:55
7.16,0.00,919.00,15.19,2025-10-27T13:42:05
7.17,0.00,914.00,15.19,2025-10-27T13:42:15
7.16,0.00,910.00,15.13,2025-10-27T13:42:25
7.17,0.00,905.00,15.19,2025-10-27T13:42:36
7.17,0.00,909.00,15.19,2025-10-27T13:42:46
7.17,0.00,911.00,15.13,2025-10-27T13:42:56
7.17,0.00,909.00,15.13,2025-10-27T13:43:06
7.17,0.00,901.00,15.19,2025-10-27T13:43:16
7.17,0.00,892.00,15.13,2025-10-27T13:43:27
7.17,0.00,896.00,15.19,2025-10-27T13:43:37
7.16,0.00,898.00,15.13,2025-10-27T13:43:47
7.17,0.00,895.00,15.13,2025-10-27T13:43:57
7.16,0.00,886.00,15.13,2025-10-27T13:44:07
7.16,0.00,890.00,15.13,2025-10-27T13:44:17
7.16,0.00,875.00,15.19,2025-10-27T13:44:28
7.16,0.00,879.00,15.13,2025-10-27T13:44:38
7.16,0.00,883.00,15.19,2025-10-27T13:44:48
7.16,0.00,879.00,15.13,2025-10-27T13:44:58
7.16,0.00,884.00,15.13,2025-10-27T13:45:08
7.18,0.00,884.00,15.13,2025-10-27T13:45:19
7.17,0.00,882.00,15.13,2025-10-27T13:45:29
7.17,0.00,877.00,15.13,2025-10-27T13:45:39
7.16,0.00,878.00,15.13,2025-10-27T13:45:49
7.16,0.00,877.00,15.19,2025-10-27T13:45:59
7.17,0.00,879.00,15.13,2025-10-27T13:46:10
7.17,0.00,869.00,15.13,2025-10-27T13:46:20
7.17,0.00,876.00,15.13,2025-10-27T13:46:30
7.17,0.00,870.00,15.13,2025-10-27T13:46:40
7.17,0.00,874.00,15.13,2025-10-27T13:46:50
7.17,0.00,869.00,15.13,2025-10-27T13:47:01
7.17,0.00,864.00,15.13,2025-10-27T13:47:11
7.17,0.00,865.00,15.13,2025-10-27T13:47:21
7.18,0.00,866.00,15.13,2025-10-27T13:47:31
7.17,0.00,866.00,15.13,2025-10-27T13:47:41
